id,gid,x,y,v_x,v_y,radius,time
1,0,-7.941496,1.119385,1.046836,0.210953,0.750000,1.300000
2,1,-1.056201,-0.006032,-1.034160,-0.016869,0.750000,1.300000
0,0,-7.888740,-1.100338,1.069028,-0.221258,0.750000,1.350000
1,0,-7.888699,1.130574,1.055940,0.223791,0.750000,1.350000
2,1,-1.108150,-0.005217,-1.038979,0.016303,0.750000,1.350000
0,0,-7.834464,-1.111950,1.085521,-0.232231,0.750000,1.400000
1,0,-7.835682,1.142449,1.060348,0.237486,0.750000,1.400000
2,1,-1.160167,-0.006107,-1.040341,-0.017811,0.750000,1.400000
0,0,-7.779793,-1.124277,1.093417,-0.246555,0.750000,1.450000
1,0,-7.782035,1.154919,1.072946,0.249415,0.750000,1.450000
2,1,-1.212459,-0.005152,-1.045847,0.019103,0.750000,1.450000
0,0,-7.724090,-1.135324,1.114072,-0.220936,0.750000,1.500000
1,0,-7.728107,1.168096,1.078558,0.263530,0.750000,1.500000
2,1,-1.264837,-0.006105,-1.047551,-0.019052,0.750000,1.500000
0,0,-7.668321,-1.147384,1.115382,-0.241200,0.750000,1.550000
1,0,-7.673072,1.179889,1.100695,0.235871,0.750000,1.550000
2,1,-1.317275,-0.004989,-1.048764,0.022324,0.750000,1.550000
0,0,-7.611629,-1.158181,1.133838,-0.215931,0.750000,1.600000
1,0,-7.618097,1.192684,1.099500,0.255887,0.750000,1.600000
2,1,-1.369589,-0.006003,-1.046273,-0.020286,0.750000,1.600000
0,0,-7.555073,-1.170219,1.131123,-0.240769,0.750000,1.650000
1,0,-7.562120,1.204123,1.119541,0.228791,0.750000,1.650000
2,1,-1.421849,-0.004743,-1.045210,0.025201,0.750000,1.650000
0,0,-7.497672,-1.180987,1.148004,-0.215355,0.750000,1.700000
1,0,-7.506425,1.216801,1.113908,0.253548,0.750000,1.700000
2,1,-1.473862,-0.005823,-1.040255,-0.021612,0.750000,1.700000
0,0,-7.440520,-1.193187,1.143052,-0.244005,0.750000,1.750000
1,0,-7.449799,1.228125,1.132506,0.226485,0.750000,1.750000
2,1,-1.525775,-0.004428,-1.038261,0.027913,0.750000,1.750000
0,0,-7.382583,-1.204091,1.158738,-0.218077,0.750000,1.800000
1,0,-7.393593,1.240892,1.124127,0.255337,0.750000,1.800000
2,1,-1.577375,-0.005583,-1.032004,-0.023105,0.750000,1.800000
0,0,-7.324933,-1.216593,1.152995,-0.250040,0.750000,1.850000
1,0,-7.336508,1.252286,1.141701,0.227893,0.750000,1.850000
2,1,-1.628876,-0.004056,-1.030026,0.030541,0.750000,1.850000
0,0,-7.266549,-1.227759,1.167684,-0.223312,0.750000,1.900000
1,0,-7.279911,1.265309,1.131929,0.260454,0.750000,1.900000
2,1,-1.680041,-0.005298,-1.023291,-0.024832,0.750000,1.900000
0,0,-7.208423,-1.240668,1.162513,-0.258186,0.750000,1.950000
1,0,-7.222475,1.276924,1.148719,0.232290,0.750000,1.950000
2,1,-1.731143,-0.003641,-1.022040,0.033125,0.750000,1.950000
0,0,-7.149611,-1.252190,1.176248,-0.230438,0.750000,2.000000
1,0,-7.165537,1.290339,1.138772,0.268311,0.750000,2.000000
2,1,-1.781916,-0.004984,-1.015459,-0.026856,0.750000,2.000000
0,0,-7.090948,-1.265575,1.173260,-0.267709,0.750000,2.050000
1,0,-7.107793,1.302296,1.154874,0.239145,0.750000,2.050000
2,1,-1.832691,-0.003200,-1.015507,0.035685,0.750000,2.050000
0,0,-7.031652,-1.277515,1.185917,-0.238793,0.750000,2.100000
1,0,-7.050492,1.316217,1.146022,0.278405,0.750000,2.100000
2,1,-1.883173,-0.004662,-1.009625,-0.029233,0.750000,2.100000
0,0,-6.972240,-1.291367,1.188243,-0.277034,0.750000,2.150000
1,0,-6.992422,1.328617,1.161394,0.248004,0.750000,2.150000
2,1,-1.933745,-0.002749,-1.011451,0.038247,0.750000,2.150000
0,0,-6.912270,-1.303715,1.199397,-0.246960,0.750000,2.200000
1,0,-6.934660,1.343124,1.155241,0.290145,0.750000,2.200000
2,1,-1.984086,-0.004349,-1.006808,-0.031998,0.750000,2.200000
0,0,-6.851798,-1.314704,1.209433,-0.219783,0.750000,2.250000
1,0,-6.876176,1.356041,1.169687,0.258331,0.750000,2.250000
2,1,-2.034616,-0.002300,-1.010600,0.040990,0.750000,2.250000
0,0,-6.790875,-1.324465,1.218465,-0.195224,0.750000,2.300000
1,0,-6.817729,1.371157,1.168944,0.302328,0.750000,2.300000
2,1,-2.085005,-0.004051,-1.007796,-0.035028,0.750000,2.300000
