id,gid,x,y,v_x,v_y,radius,time
37,1,8.569709,3.828907,0.203371,-0.259146,0.200000,0.200000
38,1,9.155947,4.618920,0.080257,-0.086169,0.200000,0.200000
39,1,6.761011,8.699765,-0.189753,-0.840616,0.200000,0.200000
0,0,10.013489,0.420409,-1.003602,0.352247,0.200000,0.300000
1,0,12.410866,0.608507,-0.694043,-0.103060,0.200000,0.300000
2,0,7.265384,-0.162291,-0.421667,-0.470973,0.200000,0.300000
3,0,6.591149,-0.870107,-0.678472,-0.179463,0.200000,0.300000
4,0,8.666806,0.774155,-0.593667,0.172325,0.200000,0.300000
5,0,5.161150,0.289728,-0.357056,-1.452346,0.200000,0.300000
6,0,13.428372,-1.042392,-1.019023,-0.030362,0.200000,0.300000
7,0,10.736504,-0.166855,-0.839536,0.102144,0.200000,0.300000
8,0,13.069813,-0.529321,-1.140603,0.169933,0.200000,0.300000
9,0,7.931815,-0.273077,-0.627885,-0.381075,0.200000,0.300000
10,0,6.812561,0.189035,-0.529893,-0.228547,0.200000,0.300000
11,0,14.687200,-0.706906,-0.439286,-0.051171,0.200000,0.300000
12,0,13.275971,0.574559,-1.088938,-0.063336,0.200000,0.300000
13,0,8.480486,0.190709,-0.498043,0.439412,0.200000,0.300000
14,0,6.526903,-0.392172,-0.845534,0.345862,0.200000,0.300000
15,0,13.344853,1.016953,-0.803739,-0.143270,0.200000,0.300000
16,0,6.037781,0.061882,-1.470598,0.434489,0.200000,0.300000
17,0,6.666059,0.952571,-0.452470,0.285064,0.200000,0.300000
18,0,9.342998,-0.507079,-0.585271,-0.268905,0.200000,0.300000
19,0,7.181479,-0.907741,-0.719848,-0.222271,0.200000,0.300000
20,1,7.290995,7.589760,0.004950,-0.629630,0.200000,0.300000
21,1,8.310926,-4.415823,-0.259217,-1.123895,0.200000,0.300000
22,1,7.101178,2.195351,0.176444,-0.633451,0.200000,0.300000
23,1,9.049055,-3.284847,-0.265994,-1.059048,0.200000,0.300000
24,1,5.286935,5.401758,-0.007999,-0.613123,0.200000,0.300000
25,1,8.354442,-2.371006,-0.017056,-1.276625,0.200000,0.300000
26,1,6.821353,6.405253,-0.017406,-0.776901,0.200000,0.300000
27,1,5.179343,1.143103,0.201617,-0.737985,0.200000,0.300000
28,1,4.745948,2.706717,-0.220915,-1.292489,0.200000,0.300000
29,1,4.751208,0.450381,-0.468816,-1.123811,0.200000,0.300000
30,1,7.663789,3.356679,0.272748,-0.392979,0.200000,0.300000
31,1,7.261741,-4.660783,-0.071966,-1.162308,0.200000,0.300000
32,1,5.673092,1.952414,0.143154,-1.231655,0.200000,0.300000
33,1,7.945414,5.130256,-0.122322,-0.862924,0.200000,0.300000
34,1,4.943955,6.577620,0.097786,-0.256383,0.200000,0.300000
35,1,9.227925,3.552299,0.428133,-1.246945,0.200000,0.300000
36,1,6.228634,4.050636,0.189168,-0.760195,0.200000,0.300000
37,1,8.587480,3.800393,0.177716,-0.285142,0.200000,0.300000
38,1,9.147516,4.595780,-0.084312,-0.231399,0.200000,0.300000
39,1,6.742328,8.615145,-0.186824,-0.846202,0.200000,0.300000
0,0,9.878636,0.409497,-1.348528,-0.109115,0.200000,0.400000
1,0,12.296532,0.591408,-1.143344,-0.170993,0.200000,0.400000
2,0,7.222336,-0.158691,-0.430479,0.036000,0.200000,0.400000
3,0,6.487687,-0.890505,-1.034621,-0.203984,0.200000,0.400000
4,0,8.554912,0.785319,-1.118935,0.111633,0.200000,0.400000
5,0,5.110881,0.173392,-0.502692,-1.163356,0.200000,0.400000
6,0,13.282506,-1.026925,-1.458661,0.154677,0.200000,0.400000
7,0,10.618348,-0.161228,-1.181563,0.056269,0.200000,0.400000
8,0,12.955281,-0.521990,-1.145323,0.073308,0.200000,0.400000
9,0,7.862345,-0.274155,-0.694693,-0.010782,0.200000,0.400000
10,0,6.791820,0.161127,-0.207405,-0.279080,0.200000,0.400000
11,0,14.595245,-0.697018,-0.919552,0.098878,0.200000,0.400000
12,0,13.183516,0.562374,-0.924546,-0.121856,0.200000,0.400000
13,0,8.388305,0.215970,-0.921810,0.252610,0.200000,0.400000
14,0,6.403465,-0.388671,-1.234384,0.035007,0.200000,0.400000
15,0,13.269429,1.008369,-0.754245,-0.085841,0.200000,0.400000
16,0,5.895458,0.096791,-1.423232,0.349091,0.200000,0.400000
17,0,6.617790,0.965674,-0.482687,0.131033,0.200000,0.400000
18,0,9.287454,-0.530055,-0.555443,-0.229768,0.200000,0.400000
19,0,7.085678,-0.894301,-0.958012,0.134404,0.200000,0.400000
20,1,7.274743,7.495497,-0.162523,-0.942635,0.200000,0.400000
21,1,8.265998,-4.525624,-0.449282,-1.098012,0.200000,0.400000
22,1,7.097719,2.062835,-0.034586,-1.325156,0.200000,0.400000
23,1,9.021064,-3.405149,-0.279907,-1.203023,0.200000,0.400000
24,1,5.293355,5.303565,0.064206,-0.981933,0.200000,0.400000
25,1,8.331274,-2.494279,-0.231681,-1.232723,0.200000,0.400000
26,1,6.826843,6.311554,0.054901,-0.936992,0.200000,0.400000
27,1,5.197796,1.109087,0.184529,-0.340155,0.200000,0.400000
28,1,4.788175,2.606929,0.422275,-0.997879,0.200000,0.400000
29,1,4.714129,0.333103,-0.370788,-1.172776,0.200000,0.400000
30,1,7.683606,3.282590,0.198176,-0.740889,0.200000,0.400000
31,1,7.259740,-4.790690,-0.020008,-1.299062,0.200000,0.400000
32,1,5.680447,1.873228,0.073547,-0.791860,0.200000,0.400000
33,1,7.923181,5.046882,-0.222324,-0.833734,0.200000,0.400000
34,1,4.954365,6.511245,0.104102,-0.663748,0.200000,0.400000
35,1,9.246407,3.429659,0.184821,-1.226407,0.200000,0.400000
36,1,6.234706,3.952302,0.060724,-0.983346,0.200000,0.400000
37,1,8.604796,3.770948,0.173154,-0.294444,0.200000,0.400000
38,1,9.157735,4.505236,0.102190,-0.905441,0.200000,0.400000
39,1,6.728925,8.495279,-0.134037,-1.198657,0.200000,0.400000
0,0,9.769739,0.392407,-1.088971,-0.170903,0.200000,0.500000
1,0,12.137890,0.598995,-1.586425,0.075868,0.200000,0.500000
2,0,7.176681,-0.193585,-0.456549,-0.348937,0.200000,0.500000
3,0,6.378551,-0.910671,-1.091362,-0.201653,0.200000,0.500000
4,0,8.483857,0.830892,-0.710553,0.455731,0.200000,0.500000
5,0,5.057722,0.025403,-0.531596,-1.479887,0.200000,0.500000
6,0,13.142800,-1.019328,-1.397055,0.075964,0.200000,0.500000
7,0,10.518180,-0.147074,-1.001678,0.141536,0.200000,0.500000
8,0,12.837136,-0.510726,-1.181449,0.112645,0.200000,0.500000
9,0,7.765421,-0.306248,-0.969246,-0.320933,0.200000,0.500000
10,0,6.734775,0.145693,-0.570457,-0.154343,0.200000,0.500000
11,0,14.522423,-0.694722,-0.728217,0.022962,0.200000,0.500000
12,0,13.070439,0.565336,-1.130771,0.029621,0.200000,0.500000
13,0,8.316993,0.251723,-0.713121,0.357525,0.200000,0.500000
14,0,6.280005,-0.381463,-1.234596,0.072084,0.200000,0.500000
15,0,13.181350,1.019923,-0.880790,0.115535,0.200000,0.500000
16,0,5.770938,0.116894,-1.245192,0.201023,0.200000,0.500000
17,0,6.570283,0.994688,-0.475071,0.290139,0.200000,0.500000
18,0,9.180273,-0.566225,-1.071808,-0.361699,0.200000,0.500000
19,0,6.963298,-0.880571,-1.223801,0.137296,0.200000,0.500000
20,1,7.272783,7.401059,-0.019599,-0.944377,0.200000,0.500000
21,1,8.214639,-4.641342,-0.513589,-1.157178,0.200000,0.500000
22,1,7.142299,1.995075,0.445795,-0.677600,0.200000,0.500000
23,1,8.996259,-3.526500,-0.248048,-1.213513,0.200000,0.500000
24,1,5.319530,5.199189,0.261746,-1.043763,0.200000,0.500000
25,1,8.305947,-2.625412,-0.253266,-1.311337,0.200000,0.500000
26,1,6.836339,6.208325,0.094963,-1.032296,0.200000,0.500000
27,1,5.196935,1.049004,-0.008612,-0.600837,0.200000,0.500000
28,1,4.791348,2.497162,0.031727,-1.097667,0.200000,0.500000
29,1,4.648973,0.199242,-0.651559,-1.338620,0.200000,0.500000
30,1,7.703287,3.169896,0.196809,-1.126941,0.200000,0.500000
31,1,7.252362,-4.920269,-0.073783,-1.295790,0.200000,0.500000
32,1,5.698384,1.735537,0.179369,-1.376909,0.200000,0.500000
33,1,7.918820,4.936477,-0.043607,-1.104051,0.200000,0.500000
34,1,4.961300,6.435176,0.069347,-0.760691,0.200000,0.500000
35,1,9.220639,3.304018,-0.257681,-1.256408,0.200000,0.500000
36,1,6.247126,3.843753,0.124197,-1.085484,0.200000,0.500000
37,1,8.606954,3.696679,0.021580,-0.742688,0.200000,0.500000
38,1,9.165986,4.390868,0.082512,-1.143679,0.200000,0.500000
39,1,6.711368,8.367519,-0.175570,-1.277602,0.200000,0.500000
