id,gid,x,y,v_x,v_y,radius,time
0,0,-8.912535,-0.997313,0.874655,0.026875,0.750000,0.100000
1,0,-8.933902,1.000596,0.660984,0.005961,0.750000,0.100000
2,1,-0.130000,0.000000,-1.300000,0.000000,0.750000,0.100000
0,0,-8.790893,-0.995040,1.216416,0.022724,0.750000,0.200000
1,0,-8.822962,1.000217,1.109392,-0.003790,0.750000,0.200000
2,1,-0.260000,0.000000,-1.300000,0.000000,0.750000,0.200000
0,0,-8.668107,-1.001479,1.227861,-0.064392,0.750000,0.300000
1,0,-8.720552,0.989770,1.024101,-0.104475,0.750000,0.300000
2,1,-0.390000,0.000000,-1.300000,0.000000,0.750000,0.300000
0,0,-8.540539,-0.997551,1.275674,0.039281,0.750000,0.400000
1,0,-8.609066,0.984287,1.114864,-0.054822,0.750000,0.400000
2,1,-0.520000,0.000000,-1.300000,0.000000,0.750000,0.400000
0,0,-8.414044,-1.004769,1.264956,-0.072180,0.750000,0.500000
1,0,-8.490036,0.980405,1.190297,-0.038827,0.750000,0.500000
2,1,-0.650000,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.284776,-1.007460,1.292682,-0.026908,0.750000,0.600000
1,0,-8.381711,0.980567,1.083249,0.001627,0.750000,0.600000
2,1,-0.780000,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.163815,-1.004468,1.209605,0.029917,0.750000,0.700000
1,0,-8.260544,0.980627,1.211674,0.000593,0.750000,0.700000
2,1,-0.910000,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-8.020949,-1.004175,1.428664,0.002938,0.750000,0.800000
1,0,-8.116913,0.976188,1.436314,-0.044385,0.750000,0.800000
2,1,-1.040000,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-7.876151,-1.018929,1.447979,-0.147548,0.750000,0.900000
1,0,-7.983503,0.980889,1.334098,0.047003,0.750000,0.900000
2,1,-1.170000,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.748740,-1.012231,1.274113,0.066985,0.750000,1.000000
1,0,-7.849083,0.996195,1.344200,0.153062,0.750000,1.000000
2,1,-1.300000,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.611296,-1.015792,1.374432,-0.035615,0.750000,1.100000
1,0,-7.712397,1.019605,1.366860,0.234102,0.750000,1.100000
2,1,-1.430000,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.477766,-1.046505,1.335301,-0.307122,0.750000,1.200000
1,0,-7.577396,1.040993,1.350005,0.213880,0.750000,1.200000
2,1,-1.561273,-0.002020,-1.312734,-0.020199,0.750000,1.200000
0,0,-7.332820,-1.079039,1.449459,-0.325340,0.750000,1.300000
1,0,-7.426551,1.072808,1.508452,0.318154,0.750000,1.300000
2,1,-1.683376,-0.010072,-1.221025,-0.080522,0.750000,1.300000
0,0,-7.184693,-1.108490,1.481274,-0.294510,0.750000,1.400000
1,0,-7.289758,1.085925,1.367930,0.131166,0.750000,1.400000
2,1,-1.819885,-0.014606,-1.365085,-0.045342,0.750000,1.400000
0,0,-7.062229,-1.143675,1.224637,-0.351853,0.750000,1.500000
1,0,-7.158248,1.103533,1.315102,0.176081,0.750000,1.500000
2,1,-1.954665,-0.011604,-1.347802,0.030020,0.750000,1.500000
0,0,-6.940744,-1.169293,1.214851,-0.256177,0.750000,1.600000
1,0,-7.044721,1.136503,1.135264,0.329697,0.750000,1.600000
2,1,-2.086420,-0.018102,-1.317558,-0.064981,0.750000,1.600000
0,0,-6.820041,-1.195155,1.207029,-0.258628,0.750000,1.700000
1,0,-6.913492,1.165153,1.312291,0.286501,0.750000,1.700000
2,1,-2.223893,-0.018222,-1.374730,-0.001195,0.750000,1.700000
0,0,-6.712118,-1.224912,1.079232,-0.297564,0.750000,1.800000
1,0,-6.788567,1.194308,1.249250,0.291546,0.750000,1.800000
2,1,-2.366480,-0.019366,-1.425866,-0.011441,0.750000,1.800000
0,0,-6.625090,-1.246933,0.870283,-0.220214,0.750000,1.900000
1,0,-6.664827,1.234720,1.237404,0.404125,0.750000,1.900000
2,1,-2.515234,-0.023000,-1.487542,-0.036337,0.750000,1.900000
0,0,-6.516248,-1.272352,1.088422,-0.254185,0.750000,2.000000
1,0,-6.542851,1.256663,1.219758,0.219424,0.750000,2.000000
2,1,-2.643589,-0.018896,-1.283542,0.041035,0.750000,2.000000
0,0,-6.409495,-1.291925,1.067527,-0.195737,0.750000,2.100000
1,0,-6.399463,1.277953,1.433881,0.212907,0.750000,2.100000
2,1,-2.773072,-0.015256,-1.294839,0.036399,0.750000,2.100000
0,0,-6.310496,-1.312844,0.989989,-0.209185,0.750000,2.200000
1,0,-6.277613,1.297343,1.218503,0.193899,0.750000,2.200000
2,1,-2.896868,-0.011720,-1.237956,0.035360,0.750000,2.200000
0,0,-6.206347,-1.326480,1.041493,-0.136362,0.750000,2.300000
1,0,-6.134983,1.329952,1.426298,0.326087,0.750000,2.300000
2,1,-3.025783,-0.010082,-1.289150,0.016379,0.750000,2.300000
0,0,-6.076935,-1.347424,1.294115,-0.209436,0.750000,2.400000
1,0,-5.994815,1.357108,1.401675,0.271557,0.750000,2.400000
2,1,-3.140572,-0.004225,-1.147892,0.058569,0.750000,2.400000
0,0,-5.948259,-1.360827,1.286761,-0.134029,0.750000,2.500000
1,0,-5.866671,1.390469,1.281445,0.333613,0.750000,2.500000
2,1,-3.257031,-0.004722,-1.164587,-0.004970,0.750000,2.500000
0,0,-5.826622,-1.378172,1.216375,-0.173459,0.750000,2.600000
1,0,-5.737420,1.405449,1.292504,0.149806,0.750000,2.600000
2,1,-3.384402,-0.001279,-1.273707,0.034431,0.750000,2.600000
0,0,-5.706994,-1.400548,1.196275,-0.223759,0.750000,2.700000
1,0,-5.629515,1.419875,1.079056,0.144255,0.750000,2.700000
2,1,-3.472544,0.001040,-0.881427,0.023191,0.750000,2.700000
0,0,-5.571656,-1.430830,1.353382,-0.302820,0.750000,2.800000
1,0,-5.527856,1.430473,1.016583,0.105977,0.750000,2.800000
2,1,-3.581093,-0.005887,-1.085491,-0.069272,0.750000,2.800000
0,0,-5.448969,-1.469433,1.226865,-0.386031,0.750000,2.900000
1,0,-5.406691,1.432216,1.211655,0.017437,0.750000,2.900000
2,1,-3.694029,-0.011455,-1.129354,-0.055677,0.750000,2.900000
0,0,-5.321921,-1.491288,1.270482,-0.218547,0.750000,3.000000
1,0,-5.280600,1.439298,1.260913,0.070822,0.750000,3.000000
2,1,-3.820245,-0.021978,-1.262160,-0.105224,0.750000,3.000000
0,0,-5.192883,-1.510093,1.290377,-0.188049,0.750000,3.100000
1,0,-5.164031,1.447950,1.165681,0.086513,0.750000,3.100000
2,1,-3.943993,-0.035880,-1.237478,-0.139021,0.750000,3.100000
0,0,-5.067762,-1.535542,1.251215,-0.254491,0.750000,3.200000
1,0,-5.039783,1.446004,1.242486,-0.019460,0.750000,3.200000
2,1,-4.073260,-0.033291,-1.292677,0.025889,0.750000,3.200000
0,0,-4.944112,-1.538798,1.236495,-0.032557,0.750000,3.300000
1,0,-4.926449,1.457884,1.133343,0.118799,0.750000,3.300000
2,1,-4.204066,-0.052036,-1.308060,-0.187453,0.750000,3.300000
0,0,-4.789168,-1.567401,1.549448,-0.286029,0.750000,3.400000
1,0,-4.807505,1.473642,1.189434,0.157585,0.750000,3.400000
2,1,-4.336276,-0.047783,-1.322092,0.042535,0.750000,3.400000
0,0,-4.648099,-1.562149,1.410686,0.052520,0.750000,3.500000
1,0,-4.679713,1.477203,1.277923,0.035611,0.750000,3.500000
